EUR/JPY;
Date;Clôture
13/04/2020; ¥117,59 
14/04/2020; ¥117,69 
15/04/2020; ¥117,22 
16/04/2020; ¥116,95 
17/04/2020; ¥116,88 
20/04/2020; ¥116,89 
21/04/2020; ¥116,98 
22/04/2020; ¥116,57 
23/04/2020; ¥115,93 
24/04/2020; ¥116,32 
27/04/2020; ¥116,10 
28/04/2020; ¥115,60 
29/04/2020; ¥116,01 
30/04/2020; ¥117,40 
01/05/2020; ¥117,37 
04/05/2020; ¥116,40 
05/05/2020; ¥115,49 
06/05/2020; ¥114,57 
07/05/2020; ¥115,11 
08/05/2020; ¥115,61 
11/05/2020; ¥116,34 
12/05/2020; ¥116,19 
13/05/2020; ¥115,75 
14/05/2020; ¥115,86 
15/05/2020; ¥115,74 
18/05/2020; ¥117,09 
19/05/2020; ¥117,60 
20/05/2020; ¥118,01 
21/05/2020; ¥117,82 
22/05/2020; ¥117,28 
25/05/2020; ¥117,37 
26/05/2020; ¥118,06 
27/05/2020; ¥118,51 
28/05/2020; ¥119,23 
29/05/2020; ¥119,64 
01/06/2020; ¥119,78 
02/06/2020; ¥121,36 
03/06/2020; ¥122,31 
04/06/2020; ¥123,71 
05/06/2020; ¥123,65 
08/06/2020; ¥122,43 
09/06/2020; ¥122,12 
10/06/2020; ¥121,75 
11/06/2020; ¥120,71 
12/06/2020; ¥120,80 
15/06/2020; ¥121,49 
16/06/2020; ¥120,86 
17/06/2020; ¥120,30 
18/06/2020; ¥119,82 
19/06/2020; ¥119,43 
22/06/2020; ¥120,31 
23/06/2020; ¥120,42 
24/06/2020; ¥120,41 
25/06/2020; ¥120,22 
26/06/2020; ¥120,26 
29/06/2020; ¥120,90 
30/06/2020; ¥121,20 
01/07/2020; ¥120,89 
02/07/2020; ¥120,80 
03/07/2020; ¥120,92 
06/07/2020; ¥121,39 
07/07/2020; ¥121,16 
08/07/2020; ¥121,50 
09/07/2020; ¥120,95 
10/07/2020; ¥120,76 
13/07/2020; ¥121,67 
14/07/2020; ¥122,20 
15/07/2020; ¥121,98 
16/07/2020; ¥122,09 
17/07/2020; ¥122,25 
20/07/2020; ¥122,73 
21/07/2020; ¥123,08 
22/07/2020; ¥123,94 
23/07/2020; ¥123,88 
24/07/2020; ¥123,66 
27/07/2020; ¥123,82 
28/07/2020; ¥123,09 
29/07/2020; ¥123,69 
30/07/2020; ¥124,05 
31/07/2020; ¥124,66 
03/08/2020; ¥124,60 
04/08/2020; ¥124,74 
05/08/2020; ¥125,22 
06/08/2020; ¥125,33 
07/08/2020; ¥124,83 
10/08/2020; ¥124,34 
11/08/2020; ¥125,00 
12/08/2020; ¥125,94 
13/08/2020; ¥126,29 
14/08/2020; ¥126,21 
17/08/2020; ¥125,80 
18/08/2020; ¥125,74 
19/08/2020; ¥125,58 
20/08/2020; ¥125,46 
21/08/2020; ¥124,77 
24/08/2020; ¥124,91 
25/08/2020; ¥125,88 
26/08/2020; ¥125,36 
27/08/2020; ¥125,95 
28/08/2020; ¥125,39 
31/08/2020; ¥126,39 
01/09/2020; ¥126,19 
02/09/2020; ¥125,86 
03/09/2020; ¥125,80 
04/09/2020; ¥125,74 
07/09/2020; ¥125,56 
08/09/2020; ¥124,84 
09/09/2020; ¥125,30 
10/09/2020; ¥125,37 
11/09/2020; ¥125,75 
14/09/2020; ¥125,47 
15/09/2020; ¥124,85 
16/09/2020; ¥123,98 
17/09/2020; ¥124,07 
18/09/2020; ¥123,76 
21/09/2020; ¥123,15 
22/09/2020; ¥122,82 
23/09/2020; ¥122,85 
24/09/2020; ¥123,02 
25/09/2020; ¥122,81 
28/09/2020; ¥123,04 
29/09/2020; ¥124,04 
30/09/2020; ¥123,52 
01/10/2020; ¥123,93 
02/10/2020; ¥123,35 
05/10/2020; ¥124,55 
06/10/2020; ¥123,91 
07/10/2020; ¥124,61 
08/10/2020; ¥124,65 
09/10/2020; ¥124,85 
12/10/2020; ¥124,39 
13/10/2020; ¥123,85 
14/10/2020; ¥123,51 
15/10/2020; ¥123,43 
16/10/2020; ¥123,51 
19/10/2020; ¥124,04 
20/10/2020; ¥124,69 
21/10/2020; ¥124,01 
22/10/2020; ¥123,87 
23/10/2020; ¥124,15 
26/10/2020; ¥123,77 
27/10/2020; ¥123,14 
28/10/2020; ¥122,52 
29/10/2020; ¥122,12 
30/10/2020; ¥121,87 
02/11/2020; ¥121,87 
03/11/2020; ¥122,33 
04/11/2020; ¥122,49 
05/11/2020; ¥122,40 
06/11/2020; ¥122,67 
09/11/2020; ¥124,44 
10/11/2020; ¥124,38 
11/11/2020; ¥124,15 
12/11/2020; ¥124,10 
13/11/2020; ¥123,79 
16/11/2020; ¥123,93 
17/11/2020; ¥123,56 
18/11/2020; ¥123,06 
19/11/2020; ¥123,15 
20/11/2020; ¥123,09 
23/11/2020; ¥123,78 
24/11/2020; ¥124,17 
25/11/2020; ¥124,43 
26/11/2020; ¥124,18 
